Cycle     | A| B| C| D| E| F| G| H|IN|OT|CNZ| SP | PC |
0000000594|95  1  0  0  0  0  0  0| 0 94|010|0000 0005|
0000000595|95  1  0  0  0  0  0  0| 0 95|010|0000 0006|
0000000598|96  1  0  0  0  0  0  0| 0 95|010|0000 0005|
0000000599|96  1  0  0  0  0  0  0| 0 96|010|0000 0006|
0000000602|97  1  0  0  0  0  0  0| 0 96|010|0000 0005|
0000000603|97  1  0  0  0  0  0  0| 0 97|010|0000 0006|
0000000606|98  1  0  0  0  0  0  0| 0 97|010|0000 0005|
0000000607|98  1  0  0  0  0  0  0| 0 98|010|0000 0006|
0000000610|99  1  0  0  0  0  0  0| 0 98|010|0000 0005|
0000000611|99  1  0  0  0  0  0  0| 0 99|010|0000 0006|
0000000614|9a  1  0  0  0  0  0  0| 0 99|010|0000 0005|
0000000615|9a  1  0  0  0  0  0  0| 0 9a|010|0000 0006|
0000000618|9b  1  0  0  0  0  0  0| 0 9a|010|0000 0005|
0000000619|9b  1  0  0  0  0  0  0| 0 9b|010|0000 0006|
0000000622|9c  1  0  0  0  0  0  0| 0 9b|010|0000 0005|
0000000623|9c  1  0  0  0  0  0  0| 0 9c|010|0000 0006|
0000000626|9d  1  0  0  0  0  0  0| 0 9c|010|0000 0005|
0000000627|9d  1  0  0  0  0  0  0| 0 9d|010|0000 0006|
0000000630|9e  1  0  0  0  0  0  0| 0 9d|010|0000 0005|
0000000631|9e  1  0  0  0  0  0  0| 0 9e|010|0000 0006|
0000000634|9f  1  0  0  0  0  0  0| 0 9e|010|0000 0005|
0000000635|9f  1  0  0  0  0  0  0| 0 9f|010|0000 0006|
0000000638|a0  1  0  0  0  0  0  0| 0 9f|010|0000 0005|
0000000639|a0  1  0  0  0  0  0  0| 0 a0|010|0000 0006|
0000000642|a1  1  0  0  0  0  0  0| 0 a0|010|0000 0005|
0000000643|a1  1  0  0  0  0  0  0| 0 a1|010|0000 0006|
0000000646|a2  1  0  0  0  0  0  0| 0 a1|010|0000 0005|
0000000647|a2  1  0  0  0  0  0  0| 0 a2|010|0000 0006|
0000000650|a3  1  0  0  0  0  0  0| 0 a2|010|0000 0005|
0000000651|a3  1  0  0  0  0  0  0| 0 a3|010|0000 0006|
0000000654|a4  1  0  0  0  0  0  0| 0 a3|010|0000 0005|
0000000655|a4  1  0  0  0  0  0  0| 0 a4|010|0000 0006|
0000000658|a5  1  0  0  0  0  0  0| 0 a4|010|0000 0005|
0000000659|a5  1  0  0  0  0  0  0| 0 a5|010|0000 0006|
0000000662|a6  1  0  0  0  0  0  0| 0 a5|010|0000 0005|
0000000663|a6  1  0  0  0  0  0  0| 0 a6|010|0000 0006|
0000000666|a7  1  0  0  0  0  0  0| 0 a6|010|0000 0005|
0000000667|a7  1  0  0  0  0  0  0| 0 a7|010|0000 0006|
0000000670|a8  1  0  0  0  0  0  0| 0 a7|010|0000 0005|
0000000671|a8  1  0  0  0  0  0  0| 0 a8|010|0000 0006|
0000000674|a9  1  0  0  0  0  0  0| 0 a8|010|0000 0005|
0000000675|a9  1  0  0  0  0  0  0| 0 a9|010|0000 0006|
0000000678|aa  1  0  0  0  0  0  0| 0 a9|010|0000 0005|
0000000679|aa  1  0  0  0  0  0  0| 0 aa|010|0000 0006|
0000000682|ab  1  0  0  0  0  0  0| 0 aa|010|0000 0005|
0000000683|ab  1  0  0  0  0  0  0| 0 ab|010|0000 0006|
0000000686|ac  1  0  0  0  0  0  0| 0 ab|010|0000 0005|
0000000687|ac  1  0  0  0  0  0  0| 0 ac|010|0000 0006|
0000000690|ad  1  0  0  0  0  0  0| 0 ac|010|0000 0005|
0000000691|ad  1  0  0  0  0  0  0| 0 ad|010|0000 0006|
0000000694|ae  1  0  0  0  0  0  0| 0 ad|010|0000 0005|
0000000695|ae  1  0  0  0  0  0  0| 0 ae|010|0000 0006|
0000000698|af  1  0  0  0  0  0  0| 0 ae|010|0000 0005|
0000000699|af  1  0  0  0  0  0  0| 0 af|010|0000 0006|
0000000702|b0  1  0  0  0  0  0  0| 0 af|010|0000 0005|
